GitHub Topic,Frequency,A,B,C,Sum,Wikidata ID,Corrected WikiID,Auto WikiID
javascript,12759,0,0,0,0,,,Q2005
python,11929,0,0,0,0,,,Q28865
android,8620,0,0,0,0,,,Q94
react,8139,0,0,0,0,,,Q106211728
php,6603,0,0,0,0,,,Q59
nodejs,6426,0,0,0,0,,,Q756100
java,6339,0,0,0,0,,,Q251
golang,5933,0,0,0,0,,,Q37227
ios,5211,0,0,0,0,,,Q48493
deep-learning,5143,1,1,1,3,Q197536,,Q197536
docker,4940,1,0,0,1,,,Q15206305
machine-learning,4929,0,1,1,2,Q2539,,Q2539
swift,4770,0,0,0,0,,,Q17118377
go,4248,0,0,0,0,,,Q37227
typescript,3787,0,0,0,0,,,Q978185
tensorflow,3340,0,0,0,0,,,Q21447895
ruby,3125,0,0,0,0,,,Q161053
hacktoberfest,3063,0,0,0,0,,,-1
linux,3043,0,0,0,0,,,-1
vue,3001,0,0,0,0,,,Q24589705
api,2829,0,0,1,1,,,Q165194
cli,2794,1,1,1,3,Q189053,,Q189053
rust,2634,0,0,0,0,,,Q575650
css,2511,0,0,0,0,,,Q46441
kubernetes,2435,0,0,0,0,,,Q22661306
react-native,2366,0,0,0,0,,,Q55774523
angular,2296,0,0,0,0,,,Q28925578
r,2279,0,0,0,0,,,Q206904
security,2193,1,1,1,3,Q2526135,,Q2526135
kotlin,2176,0,0,0,0,,,Q3816639
library,2147,0,0,0,0,,,Q7075
macos,2143,0,0,0,0,,,Q14116
laravel,2139,0,0,0,0,,,Q13634357
python3,2136,0,0,0,0,,,Q28865
json,2061,0,0,0,0,,,Q2063
redux,2043,0,0,0,0,,,Q28957057
c,1916,0,0,0,0,,,Q15777
html,1902,0,0,0,0,,,Q726761
aws,1835,0,0,0,0,,,Q456157
webpack,1796,0,0,0,0,,,Q22909730
csharp,1784,0,0,0,0,,,Q2370
cpp,1736,0,0,0,0,,,Q2407
database,1735,1,1,1,3,Q8513,,Q8513
windows,1735,0,0,0,0,,,Q1406
pytorch,1717,0,0,0,0,,,Q47509047
reactjs,1688,0,0,0,0,,,Q19399674
graphql,1662,0,0,0,0,,,Q25104949
blockchain,1655,1,1,0,2,Q20514253,,Q20514253
computer-vision,1590,1,1,1,3,Q844240,,Q844240
vuejs,1588,0,0,0,0,,,Q24589705
node,1536,0,0,0,0,,,Q659
ethereum,1532,0,0,0,0,,,Q16783523
testing,1486,1,1,1,3,Q188522,,Q188522
game,1418,1,1,1,3,Q7889,,Q7889
unity,1399,0,0,0,0,,,Q63966
framework,1368,0,0,1,1,,,Q271680
flutter,1349,0,0,0,0,,,Q39072787
nlp,1348,1,1,1,3,Q30642,,Q30642
bot,1346,0,0,1,1,,,Q191865
electron,1305,0,0,0,0,,,Q2225
scala,1284,0,0,0,0,,,Q460584
mysql,1257,0,0,0,0,,,Q850
wordpress,1255,0,0,0,0,,,Q13166
dotnet,1253,0,0,0,0,,,Q5289
keras,1253,0,0,0,0,,,Q28470421
mongodb,1252,0,0,0,0,,,Q1165204
android-library,1242,0,0,0,0,,,Q107386702
ui,1236,1,1,1,3,Q47146,,Q47146
tutorial,1232,0,0,0,0,,,Q65068857
http,1225,0,0,0,0,,,Q8777
c-plus-plus,1222,0,0,0,0,,,Q2407
django,1213,0,0,0,0,,,Q842014
animation,1198,1,1,1,3,Q11425,,Q11425
shell,1196,0,0,0,0,,,Q959549
vim,1174,0,0,0,0,,,Q131382
plugin,1162,0,0,0,0,,,Q184148
neural-network,1155,1,1,1,3,Q192776,,Q192776
web,1142,1,1,1,3,Q466,,Q466
git,1139,0,0,0,0,,,Q186055
rails,1131,0,0,0,0,,,Q190478
elixir,1112,0,0,0,0,,,Q3051161
markdown,1107,0,0,0,0,,,Q1193600
github,1100,0,0,0,0,,,Q364
awesome,1094,0,0,0,0,,,Q310135
boilerplate,1079,0,0,0,0,,,Q1651672
bitcoin,1050,1,1,0,2,Q131723,,Q131723
objective-c,1048,0,0,0,0,,,Q188531
bootstrap,1047,0,0,0,0,,,Q893195
arduino,1044,0,0,0,0,,,Q175957
raspberry-pi,1011,0,0,0,0,,,Q245
postgresql,999,0,0,0,0,,,Q192490
cryptocurrency,991,1,1,1,3,Q13479982,,Q13479982
redis,988,0,0,0,0,,,Q2136322
bash,981,0,0,0,0,,,Q189248
serverless,977,1,1,1,3,Q3958022,Q3958022,Q106211728
data-science,976,1,1,1,3,Q2374463,,Q2374463
chrome-extension,976,0,0,0,0,,,Q5583816
c-sharp,967,0,0,0,0,,,Q2370
monitoring,963,1,1,1,3,Q17012863,,Q17012863
theme,954,0,0,0,0,,,Q200801
unity3d,937,0,0,0,0,,,Q63966
material-design,932,0,0,0,0,,,Q17590603
spring-boot,932,0,0,0,0,,,Q98731994
firebase,931,0,0,0,0,,,Q18150728
ansible,924,0,0,0,0,,,Q2852503
haskell,918,0,0,0,0,,,Q34010
sql,914,0,0,0,0,,,Q47607
terminal,911,0,0,0,0,,,Q176140
rest-api,903,0,0,1,1,,,Q749568
awesome-list,901,0,0,0,0,,,Q735
jquery,885,0,0,0,0,,,Q230036
visualization,882,1,1,1,3,Q451553,,Q451553
lua,880,0,0,0,0,,,Q207316
es6,854,0,0,0,0,,,-1
dart,850,0,0,0,0,,,Q406009
image-processing,825,1,1,1,3,Q1070689,,Q1070689
express,825,0,0,0,0,,,Q1384784
opencv,818,0,0,0,0,,,Q165277
convolutional-neural-networks,814,1,1,1,3,Q17084460,,Q17084460
flask,805,0,0,0,0,,,Q289281
automation,798,1,1,1,3,Q24410992,,Q24410992
parser,792,1,1,1,3,Q194152,,Q194152
clojure,785,0,0,0,0,,,Q51798
js,784,0,0,0,0,,,Q2005
video,784,1,1,1,3,Q98069877,,Q98069877
sass,782,0,0,0,0,,,Q1572865
server,782,1,1,1,3,Q44127,,Q44127
artificial-intelligence,781,1,1,1,3,Q11660,,Q11660
npm,775,0,0,0,0,,,Q7067518
rstats,769,0,0,0,0,,,-1
component,766,0,0,0,0,,,Q11653
template,766,0,0,0,0,,,Q1411845
open-source,765,0,0,0,0,,,Q1130645
cross-platform,765,0,0,0,0,,,Q174666
rest,758,0,0,0,0,,,Q749568
docker-image,757,0,0,0,0,,,Q15206305
natural-language-processing,754,1,1,1,3,Q30642,,Q30642
cocoapods,750,0,0,0,0,,,Q16247893
symfony,749,0,0,0,0,,,Q1322933
nginx,741,0,0,0,0,,,Q306144
authentication,725,1,1,1,3,Q212108,,Q212108
iot,702,1,1,1,3,Q251212,,Q251212
discord,697,0,0,0,0,,,Q22907849
xcode,695,0,0,0,0,,,Q250328
algorithm,685,1,1,1,3,Q8366,,Q8366
terraform,685,0,0,0,0,,,Q28957072
documentation,684,1,1,1,3,Q788790,,Q788790
sdk,683,0,0,0,0,,,Q467707
mobile,680,1,1,1,3,Q2738570,Q2738570,Q17517
command-line,672,1,1,0,2,Q189053,,Q189053
opengl,670,0,0,0,0,,,Q178570
reinforcement-learning,667,1,1,1,3,Q830687,,Q830687
docker-compose,659,0,0,0,0,,,Q66317867
frontend,653,1,1,1,3,Q70507976,,Q70507976
gui,647,1,1,1,3,Q782543,Q782543,Q333904
audio,646,1,1,1,3,Q173114,Q173114,Q3302947
music,645,1,1,1,3,Q638,Q638,-1
devops,645,1,1,1,3,Q3025536,,Q3025536
elasticsearch,643,0,0,0,0,,,Q3050461
compiler,643,1,1,1,3,Q47506,,Q47506
functional-programming,640,1,1,1,3,Q193076,,Q193076
deep-neural-networks,638,1,1,1,3,Q51289900,,Q51289900
chrome,636,0,0,0,0,,,Q777
html5,635,0,0,0,0,,,Q2053
game-development,632,1,1,1,3,Q1061635,,Q1061635
cnn,624,1,1,0,2,Q17084460,Q17084460,Q5058375
svg,621,0,0,0,0,,,Q2078
azure,619,0,0,0,0,,,Q725967
demo,610,0,0,0,0,,,Q1395149
dotnet-core,606,0,0,0,0,,,Q21622213
ai,600,1,1,1,3,Q11660,,Q11660
performance,595,0,0,0,0,,,Q35140
julia,591,0,0,0,0,,,Q2613697
neural-networks,585,1,1,1,3,Q192776,,Q192776
minecraft,582,0,0,0,0,,,Q49740
async,581,0,0,0,0,,,Q95954242
aws-lambda,580,0,0,0,0,,,Q21462856
angularjs,580,0,0,0,0,,,Q2849803
google,577,0,0,0,0,,,Q95
telegram,576,0,0,0,0,,,Q15616276
babel,576,0,0,0,0,,,Q55604651
vuejs2,574,0,0,0,0,,,Q24589705
logging,574,1,1,1,3,Q29649691,,Q29649691
cloud,573,0,0,0,0,,,Q113100
bioinformatics,573,1,1,1,3,Q128570,,Q128570
r-package,569,0,0,0,0,,,Q73539779
data-visualization,563,1,1,1,3,Q6504956,,Q6504956
blog,562,0,0,0,0,,,Q30849
kotlin-android,557,0,0,0,0,,,Q3816639
client,555,1,1,1,3,Q528166,Q528166,Q146813
jekyll,555,0,0,0,0,,,Q17067385
pwa,552,0,0,0,0,,,Q25237
image,551,1,1,1,3,Q478798,,Q478798
proxy,547,0,0,0,0,,,Q11189
powershell,546,0,0,0,0,,,Q840410
xml,546,0,0,0,0,,,Q2115
twitter,545,0,0,0,0,,,Q918
3d,539,1,1,1,3,Q568742,,Q568742
browser,539,1,1,1,3,Q6368,,Q6368
jwt,538,0,0,0,0,,,Q1676726
cms,537,1,1,1,3,Q131093,Q131093,Q13167
android-application,534,0,0,0,0,,,Q52229854
php7,534,0,0,0,0,,,Q59
cryptography,532,1,1,1,3,Q8789,,Q8789
jupyter-notebook,528,0,0,0,0,,,Q70357595
tool,526,0,0,0,0,,,Q39546
middleware,522,1,1,1,3,Q146768,,Q146768
qt,520,0,0,0,0,,,Q201904
ubuntu,519,0,0,0,0,,,Q381
algorithms,515,1,1,1,3,Q8366,,Q8366
editor,511,1,1,1,3,Q131212,,Q131212
generator,511,0,0,0,0,,,Q131502
networking,509,1,1,1,3,Q1068715,Q1068715,Q1301371
graphics,508,1,1,1,3,Q7600677,Q7600677,Q11060274
